Text,Class
"I asked a question here over a week ago about my confusion at finding so many registry keys still on my computer after uninstalling all my eval products (in preparation for installation of the full versions I had just paid you for).  If it helps you locate the question, it contained a text file attachment that listed LOTS of registry keys and it was probably sent about 3/23 (I purchased 3/19).  
I don't even SEE the question up here, never mind find an answer.  
I thought you guys were so responsive to your customers!  That's what led me to buy from you.  I wasn't particularly impressed by the handling of case that I tried to resolove with you during my eval period.  But the word I heard from other customers of yours make me decide to just buy in and get busy.  Did I make a mistake?  
Please reply directly to my email.  I'm tired of coming here looking for a response and finding nothing.  
",0
"I hate to belay the point, but are you certain you used VS 2005 (not 2003)? Your C\# project seems to indicate that it was 2003 by it's 7.1 icons, and it loaded into 2003 by default.  
This issue might be faster resolved with a phone call. Is it possible to reach devexpress tech support by phone, or have someone call me (248\-548\-2500 ask for Sam Marrocco). I have to say that the 24 hour lag between every response and reply for simple questions and answers is very frustrating.",1
"Interesting that me starting a window before the message loop is a hack considering that MS's patterns and practices uses this very scenario for this very task of a login screen and starts the message loop after the login phase.  More interesting in that it works fine for everything but a tablet PC which you claim in your knowledge base works fine, but you haven't even bothered to test because you don't even have one to test with.  
And interesting that you give a solution, but expect me to purchase Windows XP Tablet PC edition to fix your bug.  
I suggest you go back and rethink your position on this one. You need to find a way to fix your faulty product at your expense. I'm willing to help in any way I can, but it is completely unreasonable for you to expect me to spend money to fix your BUG.",0
"You guys are killing me.  This does not work.  I am not using a windows app.  This is a web app.  Don't tell me its the same concept because its not.  Just forget it.  I will definitely not recommend this product to anyone I know.  You may have 1000 support request a day, but thats no excuse.  Hire more people.  
I'm moving on.",0
"Thanks.  I should have seen that entry in the docs \-\- it really does answer my question clearly \-\- but sometimes my eyes glaze over.  
Thanks again...",3
Just go read thru the issue I submitted.  Not accounting for the weekend. The person who answered it just closed it they didnt ask for any additional information. I then provided that and then they answered a totally different question than I asked. Then they close it again. Its resolved when I say it is resolved. If the documentation were better I would not have to go thru this. It just isnt working for me and the frustration when dealing with it is more than it provides.,0
"
    The reason that you project didn't replicate the problem is because you had the problem backwards.  To duplicate the problem you need to is IsEmpty \= True; (Line 502 in your project) and you need to not run oleDbDataAdapter2.Fill(dataSet11) so that you won't have any child data.  Also I'm using VS 2005.  I'm not sure that will make much of a difference but I want to make sure that you understand that so you will consider it in case you still can't duplicate it.  I say this because the sample project you sent me was VS 2003.  
     Now as far as the submitting issue I never said I haven't ever been able to submit a question to your website.  If you read the PS again you will see that I tried posting that very question friday and monday and if you look at my list of questions you will see that there was nothing posted friday by me and only one quesiton posted monday.  It wasn't until I posted the message for a third time that it actually went through.  This means had it worked every time you would of gotten the SAME EXACT QUESTION 3 times.  You only got it once.  I'm not sure what the deal is but this has happend to me before on another message.  On that message it never did go through and I gave up and I just emailed the question.  The only reason I even started using the website was in the hope that if I replied to one of your answers as I quite often do that you might be able to track better that it wasn't a new question and get to it a slight bit quicker.  I will say that if I end up losing several days because it doesn't post correctly then its sure not worth it.  I'm beggining to wonder if its the way I'm getting to the site that is making the difference.  
   Thanks,  
",0
"Hi,  
Thanks for the clarification.  
However, if I may say something: DevExpress advertises full support for VS2005, and on this prominent page [http://www.devexpress.com/Products/NET/whidbey.xml](http://www.devexpress.com/Products/NET/whidbey.xml) there is a large section on how  your controls integrate so well with design time Data Sources.  
Sorry for having been excited when I read that and for trying it with XPO, DevExpress' ultimate datasource framework, but unless I'm wrong, nowhere in the documentation is it mentioned that XPO classes can't be used as data sources to quickly create UIs in that exact same way.  
So in effect you're telling me that I don't really need the fancy drag&drop data source facilities that are advertised as being so useful on DevExpress' own website.  
Don't get me wrong, I really \*do\* understand now why XPO can't work as Data Sources this way and I don't blame anyone but MS for this bug, but I would have appreciated a ""Limitations"" page in the XPO documentation or something equivalent that prominently told me that there was an issue and explained it a minimum, if only to avoid wasting time trying.  
When you dont know the full story, it's hard to make sense of why XPO objects \-that would be perfect canditates for this feature\- don't work as expected as design time Data Sources in VS2005.  
So, thanks for the friendly lesson on how I don't need this fluff \-even though I still think it's really useful when creating detail forms\- and I really wish that the next version of XPO will have that ""Limitations"" page that tells me in advance what I cannot do and shouldn't even waste time trying, with maybe a suggestion or two on how to either work around the issue or achieve the same result a different way.  
Hope you understand my point of view on this.  
Thank you very much for your time,  
",1
"I am reaading your knowledge base. I found that , you are not updating questions answers. Some question's answers are still ""Not implemented yet"". But new version has solved this problem(s). You must update this answers because , a lot of futures of your product seems ""undevelopped"" in knowledge base.",1
"Is anyone going to respond?  Usually I get responses within a day, its been a week!",1
"Wow.  
I understand you guys are running a business, but when I'm submitting a BUG report, something that people get PAID to do, and you give me your pre\-canned ""your evaulation over,"" well that just says a lot of things about you.  Bad things.",0
"As I have stated before, I'm in a really difficult position with my client.  The bugs that I've reported in GetRowFields() and GetColumnFields() are preventing me from delivering a fully working product to my client.  My client has told me this is unacceptable to them.  So I need the fixes to these methods immediately.  I can't wait for your official release any longer.  
Would DevExpress be willing to do the following?  
    1. DevExpress will modify the official source code released with version 6.1.4 (the VS 2003 version) to incorporate the necessary fixes and release it as a patch or maintenance release.  
While your company has been great in supporting this product, I do expect bugs that can't be worked\-around to be resolved and re\-delivered quickly to support the same expectation that we as your customers have on us by our customers.",1
"It takes too long to purchase and register (install) your software.  It took 10 hours after ordering to receive the download link.  Then when I tried to install, I got stuck at registration code screen.  Update button (MyDevExpress WebService) does not work although I am connected to the internet.  When I click 'Register Manually..."" button I am asked to copy some text and email to support@devexpress.com.  I am now waiting to receive Registration Code.  If response time for support request and order completion is any indication, I will probably need to wait another day before I can even install the program.  
**Proposed Solution:**  
Improve order processing speed and somehow automate registration process (or fix your WebService) so that your customers can get up and running quickly with your products.  
Offer faster response technical support even if you have to charge for it.  Sometimes we get stuck and need an answer right away.  
Thanks for listening.",0
"Newsgroups are a major pain to work with. I REALLY wish you would implement some form of user forum that would let people post questions and share answers.  
I do like the email support, and the support center, and I use them both. But sometimes it is easier to find an answer (or ask a question) when dealing with other users as well.  
You use newsgroups to support this, but they are clunky old technology and are very difficult to use effectively.",1
"Hi,  
We are finding it very difficult with out .NET 2.0/VS 2005 documentation. You guys don't even have examples in VS 2005. What is the timeline in updating the documentation ? Atleast if you guys have any express support option, we can go ahead and buy. We have to send a question and wait for one day to get answer. It's not that we are getting answers but we are loosing days for small issues. You guys should have given highest priority in updating the documentation.",1
"Hi DevExpress  
I am writing in response to your Dev Teams update of Bug Report DB16054 in relation to XtraReports.  
I am very very disappointed with the extremely poor response to the bug and extreme length of time taken to respond to my bug report.  
I have purchased this product and I am unable to make it group data in the simplest of way as outlined in my bug report. I took the time to create a sample project  and sample database and carefully document what your tool does not do and you have not even sent me back a simple report showing what you mean in your bug resolution.  
You have marked the bug as by Design but frankly this just seems like you cannot be bothered to explain or send me a short sample of how to work around it. Nowhere in your documentation or before I purchased does it say that you cannot group a set of child records together for a Master Detail Report and NOT arrive at a correct summary total WITHOUT having to use scripting.  
I want someone to contact me urgently as per your Bug Resolution as I have tried every single way of trying to group to get correct summaries and totals and nothing works.  
I have used your PivotGrid control and it is excellent, I am sure XtraReports is too but please please take some time and send me a sample report USING MY SAMPLE DATABASE on how to arrive at the correct totals WITHOUT having to display every single child record.  
I dont want to have to wait over a week again for this repsonse and I really need this help urgently as I have an application waiting on this. If I dont hear back from you with a solution I shall have to start the money back gurantee route as I will therefore be unable to use the product.  
Thank you in advance  
 
Emerald Database Ltd",0
correction in last line of my previous posting : 3 days back i asked this queation not answered. came back with some weired response.,0
"Since you upgraded your web site I have stopped getting timely email notifications when my issues have been updated.  Specifically I updated my issue and have yet to recieve an update.  I used to get an email notification that an issue was updated almost immediately after I made a change.  I updated my issue and have not yet received a notification.  
I don't know if this is by design or not, but I precieve it to be a bug in your new web site.  I don't know if you actually acknowledged my update or not.  
Thanks,  
",0
This answer still doesn't help.,1
"I am specifically looking for usable documentation that I can use to accurately recreate the functionality of the Outlook 2003 Style Grid Deplicted in the demo included with XtraGrid.  I am looking for a list of ""ALL"" properties that have been changed from thier default setting with some form of explaination that I can make sense of so as I can use this type of grid in my own applications.  I have been working through the support system at Component source and they too are not getting me very much information.    I purchased this component specifically for this functionallity and would greatly appreciate some support, which I have to assume is provided with this product.",2
"A further note on the behaviour of this component.  I selected all the Style properties, accepting only the default style, and it seems that blocks do appear in the scheduling area, but only at the very top, ie at time 00:00.  We have tried to follow the Help file exactly on this.  
Its been over a full day since any response was received from your support team, and that was merely to say my query had been reviewed.  Is this a normal response time?  I tried to time my query to match your time zone and you should have recieved it at the start of a working day.  To merely get an acknowledgement of receipt a full day later is not acceptable.  We are complete beginners with this product and at the risk of prejudicing the response time even further.....frankly we expect more of a support team.  Also, is there anything like a tutorial for this product, which might mean that we bother your hard pressed support team less?  The help file unfortunately is of the kind where we have to zig zag through a Microsoft Help file between properties, methods and events.  We also considered posting to the newsgroup, but peer support for beginners relies on a thriving newsgroup and responses seem to be timed at a few days.  
Please respond!!",0
"Hi,  
I find your answer very upsetting for two reasons.  
Firstly, you have completely ignored the background information I provided which makes me question why I even bothered.  
Secondly, you seem to be under the impression that I can invest in two separate IDEs. I can't.  
My employers are not willing to lose their investment in the existing product or force their customers to retrain completey.  
Do you have any other more practical suggestions or workarounds for these issues?  
I truly do not understand the DevExpress position on this.  
While I appreciate the fact that your .NET tools were not designed to be hosted by VCL.NET forms, I suspect that a significant number of your sales are generated by word\-of\-mouth from your loyal Delphi developers.  
Receiving a response of this nature is a real kick in the teeth.  
\-Mohamed",0
"Hi,  
yes you are right, but this is the first installation of DevExpress components on this mashine. I have no idea why there are such problems. The compiler had no problem with DevExpress, only the studio itself, it cannot resolve this namespaces. Maybe my Visual Studio installation is corrupt, maybe i will try reinstall my studio and test it again.  
Thanks for your support.",2
"What minimal and recommended technical requirements (CPU, memory, video card) are necessary for work with your components?  
Will your components work under Win98?",2
"First, XtraReports seems like a fine product. The Quick Starts are a good approach to fast productivity.  
I have to say that the main product documentation is a very big disappointment for several reasons.  
First and mainly, the documentation is simply too little. Very few scenarios other than totally simple are addressed. The documentation on master\-detail reports (however achieved) is skeletal. Let's face it: most of us out here have to write multi\-level hierarchical reports.  
The documentation concentrates on WYSIWYG, using your nice wizards and drag and drop. Well, reality is that many of us deal with middle tiers, factories, and other environment facts of life where we cannot simply drag a database table to a form. We have to do everything programmatically, and your documentation is totally useless in this case. I would like to strongly suggest \- as a new customer \- that you overhaul your documentation and provide useful, non\-trivial examples from scratch of getting datatables (scenarios with and without adapters), creating ad\-hoc datasets, creating data relations, and binding these in code to report and detail report labels and tables. This better documentation should also include stuff that may seem obvious to you but that I had to learn by wandering all through your current documentation, such as when to create report document, binding print engines together, and so on.  
There are also errors in the main documentation. For example, compare the documentation on how to display a report right on a WinForm with the API reference. Indeed, your documentation says to use two XtraReports objects that are not installed in the toolbox. When I finally got desperate and went to the class reference, I find that the objects you mention are shown as OBSOLETE! And that a different object is recommended. Waste of my time.  
Your web site also has some errors. For example, do a Knowledge Base search. I got six results for a search on how to do master detail reports, but the search results shows 1\-20 of 6 results. The navigation could also be improved; the hierarchical TOC on the left requires shouldn't require postbacks/shouldn't create a long history trail.  
I have spent more time with XtraReports trying to figure out basics that should absolutely be documented than is acceptable. Again, the product itself see  
ms good and whoever did the quick starts should be rewarded for creativity, but the main documentation is very frustrating. I was able to get basic reports off the ground quickly because some of the programmatic equivalents are obvious, but really... non\-trivial stuff is far too difficult to figure out with this documentation.  
**Proposed Solution:**  
Rewrite your documentation completely. Get it up to date to use current objects. Add extensive programmatic\-only examples.  
Improve web site navigation and search results.",0
"Hi again,  
Thanks for your help.  Unfortunately, we can't find any documentation on creating custom skins for XtraGrid or DevExpress.  Could you please point us to the proper documentation or provide it to us if it is not online?  
Thanks again,  
",2
But how will that help when you patently aren't replicating the real\-world conditions your control is operating in? It's all very well saying that you can't reproduce it but that isn't getting me anywhere is it? You'll appreciate Paul that I'm feeling more than a little annoyed about this because it's a very obvious problem. Just because you ca't replicate it in a little sample does not mean I'm lying to you.,0
"Thanks   
I understand the difference between focused and selected rows.  
I find your grid very difficult to programme against \- partly because the help files and samples are not task based, partly because the help files lack enough sample code to see the inter\-relation between setting different properties.  
I am sure if you become expert in the Grid it is very powerful and simple to programme. Sadly I do not have time to become expert.  
BTW I have programmed with MS grids, Infragisitc grids and ComponentOne grids with no special problems. Despite your speedy and helpful repsnses I could not recommend this grid to other developers. It takes too long to learn and it is too obscure how to complete simple tasks.  
cheers  ",0
"Oh well, as long as you can't reproduce it then that's alright isn't it? God forbid you should actually try and investigate the issue or anything, I only pay for the product \- don't mind me! I'm just a customer!",0
"It is very easy to reproduce, using your wristwatch would pinpoint the overall issue \- it seems to me your bug system is used simply as a means of shutting down bugs rather than investigating them. I don't work for devexpress, I'm typing stuff in here on my time, not yours. It costs me money to be providing this free information for you, frankly I'm wasting my time. Your only reponse is to shut down a report immediately it's entered. Most bug systems keep a bug open until resolved, your bug system closes a bug as soon as you can be bothered to click a box saying you can't reproduce it \- no  investigation, no effort on your part. If you aren't interested in your customers then don't run a bug system!! Close this, I'm not putting any effort into this if you can't be bothered to, you may be paid to waste your time but I'm not.",0
"Hi, I know you wont give me an answer to this one but i HAVE to try. The client was eating me alive with the question how exactly I am intending to implement this functionality and i could not say anything definte except ""wait till next wed"". Anyway, could there be a slight indication of huge dgree of uncertainity about when this release may come through? It is just that digging into this on my own (especially knowing that in your opinion it cant be done with current realese and you WILL include it into the next one) doesnt seem like a wise thing to do considering that I am total beginner with .Net and C\#. I will have to get back to them with answers next week and not using XAF for this project is definitely not an option.  
oh well, i guess was a nice try ;)  
",1
I'm sorry I just don't have time to keep sending you people sample applications and trying to get simple things to work correctly.  I would assume this issues has something to do with Google Popup Blocker or such.  I know it is difficult to test your products in the vast of all the other products and configurations that are available.,2
"Priority Technical Support \- Every individual who purchases a subscription is entitled to priority technical support for the duration of their subscription. This means that your Email and Support Center inquiries to our support desk are moved to the front of the line \- each and every time.  
Can I have some new as it is critical for upgrading from divil components to devexpress.",0
"As subject, bonus skins won't work with ribbon control.  
Don't reply that you want me to do you a project, I am not doing your work for you, if you can't be bothered to investigate your own bugs then I am spending no time at all helping you. If you want me to do DevExpress work then you'd better pay my consulting fees.",0
"So, I install the new release this morning and already I have an error. I'm calling dockpanel.Show on a floating panel which is invisible when the form starts up. With 6.2.2 this was no problem, now it fails. I get Object reference not set to an instance of an object at DevExpress.XtraBars.Docking.DockPanel.Show()  
What am I supposed to do now? Re\-install 6.2.2 to get some work done?  
You know, I do not want to spend so much time communicating with devexpress, I have nothing against you personally but I shouldn't have to spend so much time on your site \- as I keep stating in these too\-frequent missives (and never seem to get listened to) \- I actually have got my own job to do you know, I have my own tight deadlines \- I already work every evening and weekend and you guys are not helping me, you are getting in my way \- this is not supposed to be the way it works!",0
"Hi,  
I have just purchased the Express Pack.  I am new to this, but it comes highly recommended.  One thing I am very interested in is not having to deal with screen resolution issues.  I understand that this is part of the LayoutControl.  What I am not sure about is if this function is part of the Express Pack that I just bought.  Must I purchase it separately?  
Thanks,  
gmo",2
"I am very curious on just how I am to know how to program your solution without asking you the question, waiting all weekend, waiting Monday and finally getting the answer on Tuesday.  
I searched everywhere, online docs, source code examples, and the documentation (if that is what you call it).  I even did a Google search to see if I could find this information.  
Please point me to your documentation that shows how to use XPView properties in this way so in the future I did not need to ask the question and wait for the answer.  
Also please check my account, I believe I have an active Dxperience subscription which I thought would afford me a timely response.  
Kenton",1
"Hi,  
Thank you, and I thought as much...  
To create my own customised End User Designer was my original intention, but after learning the XtraReport, XtraReport1 paradigm I got rather confused with the EUD now being a Form, so I dropped back to using yours.  But I think I'm getting there, slowly.....  
BUT, do you know of any working examples of an Custom EUD within your KB or Support Issues. An example just showing the basis of what you can do, would be so helpful!  
Sorry, to be a Cut & Paste programmer, but you have to start somehow.  
",2
"Please close this and any other open bugs/questions etc. here. I'm sick of reporting things that you do absolutely nothing about, clearly unless you're a big customer for DevExpress you can expect no support at all. You're just wasting my time.",0
"Version 6.2.3 is simply not stable enough and has too many breaking changes/bugs to be acceptable.  
Please get 6.2.4 out with fixes to the initialization problems so many of your customers are complaining about.",1
"I'm currently using a 3rd party component, the free cxIntl component, to handle the localization of your components. However it's just too much hassle; like after an update the cxIntl component is missing some translations and a more recent version is not available.  
Your setup is well done, but this issue does almost neutralize the ease and advantage of it.  
Updating the translations is not a problem, but the maintenance of an additional component just sucks.  
**Proposed Solution:**  
Why don't you add your own translation component to your component\-suite? Simple import/export to TStrings and .ini or Text\-File. That's all I'm asking.  
It would make things that much easier. This way I would only have to take care of the translations \- updating also the source code every time is really too much hassle.",2
"Thank you for your suggestion Vito.  
I don't have the expertise at the low\-level of VCL to really even know what you're talking about. ;P So, I've unfortunately had to dump the TdxBarManager components for my application as they require a hidden password\-field (I write BPFTP Client/Server, www.bpftp.com) and I'm using Toolbar2k instead.  
Your components are very nice and I feel the interfaces are very well documented and thought out.  
Can you please put this up on the ""wish list"" for the next version as I'd love to continue it's usage once this has been included.",3
"Thanks for your answer but as it is stated in the reference article, this is actually not supported.  
I have made a change request for this problem.",2
"**Proposed Solution:**  
Why don't you add your own translation component to your component\-suite? Simple import/export to TStrings and .ini or Text\-File. That's all I'm asking.  
It would make things that much easier. This way I would only have to take care of the translations \- updating also the source code every time is really too much hassle.",2
"No reasonable person can suggest that this is merely a limitation and not a bug.  It is a VERY serious flaw, which needs to be fixed.   Your suggested workaround is neither predictable nor complete, and thus is not a fix.  I honestly can't believe that DevExpress has released this as a product with knowledge of this defect.  
These cells contain DATA, which is routinely LOST on paper copies.  
Are the ramifications of this bug not crystal clear?  
This bug makes the use of ESS with EPS impossible in many industries (Health, Financial, Aviation, etc) and even outright illegal in many situations.  
Do I ""think this functionality is wrong"", as you say?  How could anyone possibly think that lost data is correct?  And why would such a serious bug require that it be re\-submitted as a mere suggestion?  When it comes to software updates, aren't bugs considered higher priorities than suggestions?  
I have submitted dozens of bugs with these products and catalogued some mind\-boggling missing features standard to all other spreadsheets, but this bug definitely takes the cake.  Calling this merely a design limitation is a serious blow to DevExpress' credibility.",0
"You asked me what I thought about the decision to not fix this so I'm responding...  
I can't say I'm happy about it even I understand your decision.  
I only know from my standpoint it causes me some problems every time I upgrade the devexpress controls and I don't really care if the tool uses native API's to achieve this purpose.  
Even if I did care about a managed solution for my final application I wouldn't be including this tool with that distribution so it wouldn't matter to me if it used native API's.",1
"This cannot be BY DESIGN \- you can't set same thing by LeyoutItem. And there is no such standard available so that padding disapears as soon as borders \= 0. Every other control works not that way.  
And I've reported 2 things. Answering this way about only 1st item and loosing second is not kind to your customers, which are trying to help you find bugs.  
Both things are definetly wrong \- they should be fixed, because there is no reason for broken behaviour.  
Please don't RESOLVE bugs as soon as you've looked on it.",0
"Thank you very much for being honest that you won't even look inside the code if I don't have exact steps.  
This bug is not stable and it occurrs during wizard use. I wish I had a stable sequence of steps, but I don't have.  
And you definetly know that such things constantly happening \- floating bug. Do you know there are a lot of such?  
So I thought that at least in that case you are trying to hang around in debugger with sample projects.  
Now it seems like I just need to throw away DX chart. Because it's full of assumptions that series are present when they could be not existing at all. And no one will take care about null\-reference exception deep in own code if bug is floating. Sorry for spending your time...",0
"Every single question we ask end up with this answer.  
The most irritating is the status, 'resolved'.  
As it stand, we are not going to renew our DevExpress Experience licences next year.",0
"Hello,  
I am a long time user of your components with an emphasis on XPO.  
I have recently started a portfolio application intended to present an idea to solve a current customers needs, and possibly to be expanded on as a product they might re\-sell.  The company is a communication infrastructure company. They obtain bulk services from top tier companies like AT&T, Sprint, CableVision and often re\-sell these directly to customers and often through third parties.  
They asked me of the possibility of writing a commission reconciliation program to help them keep track of and reconcile the 1000s of contracts. Presently they manage this process through spread sheets and it is very difficult.  They and I have looked for existing software to manage this need, and it all seems to be one sided – ie they help manage insurance (or similar) commissions. We have not found anything that ties incoming and outgoing commissions together.  
Anyhow, I saw this as good opportunity to learn WPF and possibly WF. I could then use the end product to demonstrate my companies WPF abilities and get a head start on my competition (I hope).  
I chose Microsoft small business accounting as a baseline for what I considered a desirable UI. As you know, WPF does not include a robust grid component. I know Infragistics has announced WPF components, and I assume DevExpress is also working on the same, but have not announced.  
I would be very interested in participating in a Beta of such components if possible.  This is a perfect project since it has no deadline and does not (at the moment) have an end customer paying for it.  
Thank you for consideration,  
Mike Partain  
Digital Events",3
"Normally, once I've worked out the parameters of the bug I can get past it, as I have done with this one. It is nearly always much quicker for me to get past the issue myself than argue with devexpress as to whether it exists or not. They do exist, and the reason you don't see them in your bug testing, or pick them up before you release updates, is because your test sets are far too simplistic \- they do not mirror real\-world development. I work 18 hour days, 7 days a week, I don't get money for spending hours trying to diagnose faults for devexpress, I'm sorry but there it is. It is more efficient for me to try and get around the problem than exchange dozens of messages on this site. I only posted this one because it was late at night and I was sick of trying to fix yet another problem, but in the morning I got around this and it is no longer a problem for me. I appreciate that you may need more info to effect a fix (though I feel you could do a lot more to help yourselves without my help) but unless it's absolutely critical to me then I am not going to put in the time. I will post questions when i have them because you're more likely to have that info readily available and I won't have to wait, but my experience of this bug system is that it simply isn't worth participating.  
I appreciate your reply Stan, please close this report.",0
"hi  
don't you want to answer or even review????",0
