text,Sentiment
"The fast and excellent help we got from your supportcenter was not limited to the DevExtreme components only, but also helped us with questions in a wider perspective.",4
I call DevExpress development tools the wonders of software development in this present age and ages to come.,3
The tools are so amazing and excellent ranging from the UI Presentation Components to Reporting Tools to IDE to Productivity tools and business Application Framework.,3
"Also if you run into trouble, the DevExpress support team are simply the best you can find anywhere in the world, they ensure that you do not have problems that will bring your project to a standstill",4
From my experience with the DevExpress (XAF) support team they are amazing and incredibly great and I have observed and experienced that they behave like a family,4
"Not only will the support team quickly tell you how to accomplish a particular task, but they will also suggest new and better approaches to accomplishing your overall goal by pointing out features or components you were n't even aware of",3
"Further, the DevExpress support stuff is really stunning.",4
In almost every case we had feedback in a few hours and the support do n't give up until a problem is solved.,3
"In addition, through its unrivalled and superbly capable support team, it's like having this friendly, highly-skilled software expert right on my own development team!",4
"The support team are without doubt the best I have ever come across, by a large margin.",4
I could not believe a company would have so much concern for their customers to not only help them but to constantly improve their own products and never with an attitude of arrogance (as I saw in many other products) but with the idea that we work together as a team,3
Besides the tools being terrific in them selves your support is beyond comparison,4
You guys are terrific!,4
That is why we love your products.,4
(Besides the fact that they are the greatest!!!),4
DevExpress provide the best controls and support in the world.,4
I ca n't fault them and the product and on-going support is worth every penny!,3
I just wanted to let you know that your support is great.,4
"Not only that I am getting quick answers to all of my questions, your public ticketing system is so well organized and indexed by search engines that it is very easy to find ideas to solve my problems even without contacting you.",3
"In 2015 we bought the full DevExpress Universal license and I am really amused with the huge efforts from the DevExpress team to make our job as developers very much easier as well as giving the end-users a very nice way to view their own information, so I can summarize my experience with DevExpress with some words only `` The best in the world''.",4
After 25 Years of professional windows development I have never seen a library like DevExpress.,4
AWESOME!,4
This great grid control is the best I've ever seen!,4
An investment that makes happy!,4
I have worked with many support organizations and your support really stands out: it is outstanding.,4
"I can say with honesty that I have never dealt with a company in DevExpress with better products in this technology space or, with respect to customer support, in any space.",4
Your vb.zip sample project helped me tremendously.,3
The support from the company is exceptionally good and so is the example materials they provide.,3
The experience I had with DevExpress is `` top''!,4
"Outstanding support, very friendly interfaces and above all a marvellous framework to develop with.",4
"Also your support is first class, they are always professional, responsive and very helpful",4
I'm very impressed with the ASP.NET Dashboard controls offered - thanks so much for building a powerful product that is easy to use,4
I'm also very thankful for your support team for posting relevant replies that helped ease the learning curve pain as I struggled through a few (known) issues with some of the dashboard elements.,4
The thing that amazes me the most is DevExpress support: all questions are understood and it's possible to feel that every answer is the result of a certain amount of effort.,4
You guys are the best!,4
"In my lengthy experience as a programmer, I have never before encountered such an efficient and friendly support team",3
"In submitting tickets to your support team, the word `` Amazing'' is simply an understatement of your team's response time and effectiveness in providing the appropriate answers/help.",4
"DevExpress is so great, I believe there are still no right words to describe it.",4
Thank you for all your support and the well crafted example.,3
"thanks so much, your answer was very helpful and solved the problem",3
"Thanks for the help, for me its the support you guys offer that really separates you from the competition and once again that's proved true.",3
It's a real pleasure to use your components and get in touch with you guys when needed.,3
Continue your excellent work,3
Devexpress team is providing the same word to all the user of this issue for last 1 year.,1
I am bit disappointed.,1
Quite honest - I am VERY disappointed.,0
This is the first ever bad review that I ever has written to you - but I'm quite speachless with disappointment here.,0
Support does n't help at all,1
"Recently I'm noticing quality issues, inconsistencies with look and feel, and unfinished controls.",1
Excellent quality & support,3
Slow perfomance.,1
This was a bit frustrating again.,1
"Very hard to search for error, or solution.",1
You get bunch of non practical staff.,1
Searching support is bring you to the 100 of questions and 1000 of redirect to here and there and at the end no solution to the problem.,1
Very disappointed with the purchase due to large number of issue and no solutions.,0
i will recommend your product to my friends,3
I feel it crazy and would not recommend to my friends who think much of DevOps.,1
The support is really great!,3
"TreeList is a bad component, we are thinking of getting rid of it and switching to other",1
Help documents are really bad.,1
Support is OK but condescending in attitude when replying to a question.,0
"Even though it is almost 2019, DevExpress still does not seem to have grasped the meaning of SOLID development principles.",1
It is extremely difficult (if not impossible) to use DevExpress components with an IoC Container - I realise one of your team has cobbled together something to work with lightweight containers but this is of limited (if any) use for professional developers.,1
"Support is still lacking, and it takes several days, sometimes weeks, to get an answer to a question.",1
You just do n't seem to realise (or care) that we are writing commercial software for paying customers and can not afford to wait that long for a response.,1
"I seem to recall that you asked your customers how you could improve your support several years ago, but you have clearly ignored all the responses because all the same problems still exist.",1
"Documentation is still a joke, even after all these years.",1
Using Devexpress ASP.NET MVC grid was a total disaster.,0
Performance was a nightmare.,0
We like your controls and really appreciate your support team.,3
"However, as you can see in the support forum, there are lots of missing customizing functionalities that we feel are necessary to build complex applications with your widgets.",1
Your WPF/Win controls & support are out of this world.,3
I am 150% amazed by their abilities and functionality.,3
"Almost every response was the same - `` we ca n't reproduce that on our side''... so what, I can repo the error every time - I provided proof - source code - and video... yet never received any real help.",1
"If asked that same question about ASP, my answer will be anything but DevExpress... sorry",1
"Improve the support, talk to your customers instead of hiding behind emails/support tickets to better understand their issues.",1
"Given the time lost to make things work, I do not consider DevExpress a good product.",1
Product has a lot of bugs.,1
Support is attentive but quick to pass off to `` old links'' which many time have little to do with the request for assitance,1
Development/Enhancements for VCL is really poor.,1
We are paying a lot whilst the VCL components remain the same and no real enhancement can be seen.,1
Every upgrade also breaks existing functionality.,1
"Documentation lags behind, it's hard to find working examples except by scouring support cases.",1
"That said, my biggest frustration is with the VERY limited documentation.",1
"Your support people seem fairly helpful, but trying to learn software by jumping from semi-related support ticket to ticket, is a poor way to learn.",1
"DevExpress has some very useful tools, but the documentation is pretty poor (I could explain why), and help requests often take a few passes to get the right answer.",1
I do n't like that most of the answers in the support center (and sometimes also in the KB) are as short as possible.,1
your support sucks,0
Not a happy customer here!,1
Components - especially new components - are too buggy and introduce new bugs with every release.,1
Your documentation sucks.,0
You suck.,0
I would n't recommend scheduler to anyone.,1
"Hi Kirill, This is exactly what I was looking for.",3
Thanks very much for all the (extensive) help!,3
"Hi, Please let me know how to merge cells horizontally in master detail view for child grid view.",2
Please find the attached screenshot.,2
"Hi Ivan, Many thanks for your feedback.",3
Your suggested approach was just what I needed.,3
"Hello Andrey, thanks for your answer but to change the setting to PackageReference does not lead to a positive result.",2
Please find attached a screenshot.,2
"As you can see, the error still occurs.",2
Any other suggestion?,2
What's the reason to have a prerelease dependency to an official released package?,2
Is there a possibility to download DevExpress.Wpf.Dialogs and the language packages as direct link?,2
Hello Maxim as we have mentioned we would like to have clientsite operation only.,2
i would presume that the customstore is the answer?,2
"Hi One of the business classes (Hire Agreement) in my XAF ASP application has a ` status' property (allocated, active, closed) - I need to disallow editing of this class when it's status is either ` active' or ` closed' - what is the best way to do this?",2
I appreciate the transparency here.,2
This will help us in considering our reporting needs for the future as we move on.,2
"I found the Demos at the path specified, thanks!",2
RE Search Criteria listed here: (link) If the column is a bool - how do I see e.g. all true entries for a single column using the criteria?,2
"Hi Maxim, No, that's not what I'm looking for.",2
Please see my code to understand my problem.,2
"Hi Dmitry, That's ok.",2
I'll probably just not use CRR for parameters.,2
In testing I found an issue.,2
If the employee name box is scrolled down then a right mouse click is applied it is not working?,2
I've attached a video.,2
I turned off the auto row filter and turned on the find filter.,2
That's fine for what I'm needing to do.,2
"Since I could n't search a hidden column with the find panel, I had to also handle the CustomRowFilter event like you described.",2
"Sorry, I should add that I have an option so users can flip between being grouped by date and grouped by resource.",2
I need a solution that will work for both settings.,2
"Hello Nikolai, Appreciate your support.",2
we are working on Angular 4 and using tree list.,2
could you share the sample on angular 4,2
ok I got it now dashboard.datasources was the parameter createDatasource () method was expecting.,2
So thank you.,2
File is produced by calling: (code),2
"Hello, I need to upload a folder that contains images.",2
there can be up to 50 images in the folder.,2
What control do you suggest I use for this task?,2
"Hello, can someone please show how to change the label for a Grand Total column in a WPF PivotGridControl?",2
"Ok With the number format in invariant culture (`` m/d/yy h: mm''), i get what i want.",2
Thanks!,3
Do you know the number format to put the year on 2 caracters?,2
"Hi Sasha, Works perfectly, Thank you very much for the help and the quick response :) Kind regards, Thomas",4
"Hi Stas, sorry, i posted the wrong sample project.",2
Please use the project attached.,2
"Hi Team, Aspxgridview batchedit is not working in firefox but the same working in chrome i dont know how to fix this issue so kindly help me out to resolve this i have attached my implmentation for your reference.",2
(link) After setting searchPanel visible param to true and searching by some string (` b' for example) - sorting by header stops working.,2
"Hello, As I could see there is 60 day free trial for document server: (link) I will evaluate that during this period and if it fit for the purpose, I will buy it.",2
"Aleks, Is there a way to keep the `` pen'' from showing up in the far left side of the grid when a cell is clicked on?",2
It gives the impression that the grid editable.,2
"Hi, I have an issue with the Filter Editor.",2
"In a data grid, in a particular column, if I set a RepositoryItemLookUpEdit in a particular column, when I open the Filter Editor of this particular column I have only 6 filter values ` Equals/Does not equal/Is Null/Is Not Null/Is any of/Is none of' instead of all 18 filter values.",2
Can you explain me why only 6 filter values instead of 18 filter values are displayed in the Filter Editor pop up?,2
"Dear All, My issue has been resolved.",3
"What was wrong was that the components were of version 15.2, as Vova correctly hinted that it be an issue of the version or the browser.",2
I tried it with version 17.1.4 and there was no issue at all.,2
I greatly appreciate your assistance Kindest Regards,3
Hi In Entity Framework (EF) you can define multiple DbSet's on the DbContext so that multiple collections of objects are populated in one hit.,2
Does XPO have something similar?,2
"I know there is a XPCollection <T>, which I suppose this the equivalent of the DbSet <T> but how do I fill multiple XPCollection <T> in one go?",2
Thanks that works as requested and for different browsers.,3
:-) But this is OK only when datasource is an array of objects.,2
If the datasource is a customStore calling a REST service.,2
The column/grid will lose focus and you have to click the next cell to activate it in edit-mode.,2
How can that be handled?,2
"Hello, how to change selected's row color of GridDashboardItem?",2
Hello Is there any way to customize parameter names in XtraReport?,2
"For data fields we use a dataset which implements DevExpress.Data.IDisplayNameProvider, and that works fine, but I would also like to have customized names for parameters.",2
I do not wish to apply global styles.,2
I would like to find a hook to apply styling based on the specific dx-select-box.,2
We work with a DevExpress FilterControl and would like to extend the list with our own filter selection.,2
See picture in Attachment.,2
Thanks for the quick support,2
"I use Universal Subscription in my work, actually this is my personal account for the forum.",2
"Hi, i would like to provide a search options to filter the groups and items in a NavBarControl, what is the proper way to do it?",2
"i have seen other tickets, but they are for WinForms, and few years old.",2
Thank you very much.,3
Also could you help me is setting the lookup edit when binding the data from database.,2
"I am getting the particular column value from database, but when I assign this to datasource of gridcontrol, the value is not set only for the lookupedit columns and for all other columns it is set.",2
"Thanks Alessandro, Do you know when v18.1 will be released?",2
"@Maxim I'm looking for a way to load data from remote as it's made with the remote paging, but using an infinite scrolling.",2
"The result that i want to get is to fetch chunks of data from the server by page while scrolling, in order to avoid an initial download of all data.",2
"Hi thanks, the first thing works well for me :) For the hide and unhide stuff, it would be great when I can use JQuery, because I dont want to drag and drop something.",2
Currently I have a solution where I just can Check or Uncheck Columns (Have a look at the picture...) This is handeled like this: (code) Is it possible to keep this functionality?,2
"Hi Paulo, I was able to figure out the answer to my previous question.",2
"The issue we are having is that any attempt to display the attached form or modify any of the controls in a package after the upgrade, results in the screen shot attached.",2
"Hi, i want to use TcxRichEdit as html editor for part of html file, main problem is dat by saving html a lot of classes are added and also all elements i do n't need them added into html.",2
I need just simply elements: <b> <i> <li>... Is it possible to disable this?,2
Please see attachment: - Test_load.html originally loaded html (i want to preserver same structure) - Test_ssaved.html same document saved by Richedit Thanks,2
"Hi Aleks, Thanks that was working.",2
"But, when I am trying to pass the values to DB the value set in lookupedit is not getting passed.Could you help me on this.",2
I am setting the row value in GridView1_CellValueChanged event.,2
Still data is not passed.,2
"Is there no way to draw the specific columns, i.e. in OnCustomDraw Event?",2
The datasource is read only.,2
No cell is to be edited.,2
"Hi, I'm using dxDataGrid (master-detail).",2
"If I specify the width of a few columns in the column definition and set the columnHidingEnabled to true, the column is hidden from the base... Is it possible to specify the width of a few columns and hide only when there is not enough space to display?",2
Sample project: (link) Thank you for your time!,2
Thanks.,2
I figured it out.,2
"I was already trying this, but it does n't seem to work with (code) I needed to change it to (code) Any ideas why?",2
"Hi everyone, Is there any way to export all of my data as an excel with a remote paging table?",2
"If I choose to export all or to export selected, I'm actually limited to my actual page and its actual page size (e.g. if I'm at the first page of 20 with 10 rows per page, if I export all as an excel, my excel will contain only the first page's 10 rows)",2
Could you explain to me why did that help?,2
I wish to understand more about the underlying mechanics.,2
Means I see my e.g. Polish Translation but only fro Navigation items.,2
I attacht the Model files and a screenshot.,2
I can not find any usefull examples for using your Superhero theme for ASP.NET Bootstrap WEB Site template.,2
"Please, give me certaintly known how to do it step-by-step",2
I believe I found the error in my ways and that was with the imports inside my components.,2
I had the imports like this: import -LCB- DxDataGridComponent -RCB- from ` devextreme-angular'; Then I went though all of them and made sure they pointed to the specific components like this: import -LCB- DxDataGridComponent -RCB- from ` devextreme-angular/ui/data-grid'; Now the tree shaking works correctly and things like the ui scheduler are being removed.,2
I used the LLamachant Framework that sovled my Problem thank you,2
"xtrareport, how can I sort the sales sum field to big and small",2
Is it possible to reduce size without change column position?,2
"Hi Uriah, I found the cause.",2
Steps to reproduce: - Create class with properties - Delete property - In 17.2.5 the property is still available in the model (for some reason the property was n't removed) - In 17.2.8 the application crashes.,2
"I figured out that I ca n't make the grid view readonly, I have to make the columns within the view readonly and the scrollbars do appear when the column gets focus.",2
I have one question regarding to DocumentPreviewControl styles.,2
Can I change toolbar background color?,2
"Hi, I have given the following code in designer file and it's working for me.",2
"Dominick, The ticket you attached to the message can not be displayed to me.",2
The error occurs: `` You can not view this ticket'' If possible make the visualization of this ticket available or present the solution of the error with the dialogue screen of the paragraph.,2
"Hi, I'm having trouble adding to the GridView.",2
Needless to say working with gauges is pretty confusing if you do n't have the Gauge Designer... How do I get this Dashboard Designer?,2
"Hi Alex, That is exactly what I was after!",3
Thank you for that and the super fast response!,4
You guys are awesome!,4
"Hello DevExpress Team, I am searching for solutions how to fix the first three columns in a cxTableView.",2
"I already know that the BandedTableView is capable of it, but there are specific circumstances because it would be easier to modify the existing application, instead of replacing everything with BandedTables.",2
Is there a solution for it?,2
Thanks for your reply.,2
As you can see in the attached screenshot one of my users has a cxgrid with a column header that is twice as high than the others.,2
I think some key combination that I allow to use (without being aware of it) my users are able to perform this vertical resizing.,2
Can you please suggest?,2
I know you you will say to click on save changes button but here I want to remove row before saving changes.,2
The reason for exception was unchecked checkbox: Automatically adjust clock for Daylight Saving Time in windows's `` Set the time zone'' options.,2
"Thank you again for getting back to me, I can find example code for the aspx file, but not for the code-behind file - are you able to point me to a sample?",2
I try sample app and font of group box and items are Tahoma 8.,2
That's correct.,2
Bud in my application are fonts of group captions and items changed on Segoe UI and I can not find out why.,2
That are changed to Segoe UI.,2
On controls are right Tahoma.,2
Will you give me a tip to start looking for where to change?,2
"Hi Andrey, Thank you for your explanations.",2
"However in the example of T125726, the Printer Properties dialog takes what the user selected in the Page Setup dialog.",2
I noticed that the dialogs are different in these two sample s.,2
But I expect they have the same behaviors.,2
Yes I understood the most of the things now.,2
The DevExtreme Asp.net MVC is the one we need anyway as per the link you provided.,2
The only thing left on this ticket is why devextreme project not supporting on VS2017.,2
it is working fine on VS2015.,2
"Just because of this, I needed to maintain two versions of VS on my system.",2
"Hello Kirill, I think I removed some code while testing your project, that's why I was able to edit duplicate tokens.",2
Thank you so much for your help.,3
"Hi Team, I need some input related to xtrareport without datasource using sql server2008 and Visual studio 2015.",2
"Dear Devexpress Team, I have an issue with Xtrareport.",2
I want to overlay an XRLine into an XRLabel and ca n't seem to do it I attached an image to show my problem How can I do this?,2
Is there any workaround to do it?,2
"Hi Ghosha, Thanks for your response.",2
"Please find attachment, I am able to reproduce issue on devexpress demo site.",2
"Here, Please note that I am using batch editing grid and I want to hide/remove row EXPLICITLY.",2
"Hi drag and drop any column data area, and value distortion is seen.",2
My Project needs the below controls in asp.net MVC site in coming days.,2
I attached corrected archive if somebody would like to have a look.,2
"Hey, I have a CSV file I am using as the datasource in DashBoard, dates look like this: 10.4.2018 16.54.29 but when they come to dashboard they come like 1.1.0001 0.00.00 How can I convert then properly?",2
Thanks for the help,2
The other support person did not understand the problem and thought I was trying to pass values from the server back to the client.,2
Is there any way to `` cancel'' the batch edit from the `` server'' side?,2
"If not, can you `` ask'' if this may become a `` feature'' in the future for DevExpress?",2
I used a little different approach and got it to work... My issue is that Now I have added a group by to a particular column on initial load (Not in Code) and this is the way the group by panel show up.,2
"When i changed the connection at logon, i also remembered the connection string, along with the password.",2
"Then, when i run the report i change the sqldatasource.Connection.ConnectionString to the connection string i remembered at logon.",2
Cand this create problems?,2
Or is it ok?,2
I need to go in reverse.,2
I need to pass the entire grid from the client back to the server.,2
"The grid `` batch'' edit does not allow me to `` cancel'' edits on the server side, so a previous DevExpress support person said I need to gather the grid data on the server side, format it into json, and then pass that on a callback to the server.",2
BUT `` batch'' edit does not allow me to `` GetValue'' of hidden columns.,2
"We have about 30 developers in our department, all have licenses but me the new hire gov contractor, taking a while to get my license PO through the red tape.",2
Considering using your Bootstrap controls instead of Angular5 for building a new public web solution that hopefully will get significant traffic.,2
Can you share links to other websites developed using your Bootstrap controls please?,2
"Want to experience the speed and response times, and the responsiveness.",2
Other resources that can help to identify the benefits by using your tools (and server based rendering) rahter than e.g. Angular5?,2
"Hello, We are using grid control (grid view) to load over 500.000 rows.",2
It is very slow to export it to xlsx format.,2
Do you have any suggestions to make it faster.,2
Never mind the last question.,2
I discovered if I use developer tools I could find the key by viewing source.,2
"Hi Stan, It would come handy in a project I have right now.",2
I get the five (5) lines of comment but no scrollbars for the rest of the comment.,2
Built a Dynamic LINQ to CriteriaOperator converter which also converts CriteriaOperator back to Dynamic LINQ,2
"My subscription showing asp.net MVC, correct?",2
why need to download a trial for this?,2
"Hi Sergi, I have modified the attached sample and issue is reproduced two times.",2
I am attaching modified sample.,2
Error screenshot is in project folder.,2
"Thanks, that works.",2
"Is there a key for the `` To add a new dashboard, click'' message when in design mode?",2
Is there a list of these keys somewhere?,2
"Hi Anatol, would you mind to provide web variants of these?",2
"That's why I asked for the state of this ticket: would a ` Default' and a ` More' button have been implemented for dxColorEdit as requested, I can realize what I need.",2
But thanks for your help!,2
could you provide the download link for DevExpressNETComponents-17.2.7. exe,2
"Hi Ivan, My Issue is resolved, Working fine.",2
Thank you very much. :),3
"To make the selected filter tab more visible, can I somehow highlight it, please see attached examples?",2
You can close this issue.,2
This seems to be related to our local proxy settings.,2
This row: (code) results in call of method gridDocList_AsyncOperationStarted again,2
I can not find the property to change to text size in tilenav.,2
"Hello, I would like to perform some operations on a Field before it is updated to the database.",2
I guess I should use the OnRowUpdating Event but how do I get the record which I am currently editing.,2
"Do n't if it is possible, but I would like to have same font and size on dock panel title and tab.",2
"Hi, we want to load default filters in the filter control of the gridcontrol.",2
"Therefore we want to add a button, which on click will load the default filters.",2
Where can we find find the right template to add the button and how to add filters via code to the filter control?,2
"Thanks, that is very useful.",3
"one more question, I can only found 2y old information about the nuget, currently is there any limitations?",2
we are using DevExpress v17.2.7,2
"Paulo, thanks for the sample.",2
It gives a hint but is not exactly what I need.,2
"Attached is a sample that shows what it should look like (implemented with BarControlContainerItem, that does not work entirely as of it's restrictions).",2
"On it's final stage, the ` Color' bar item should behave like a TcxBarEditItem with style ColorEdit and the button on client area should be a TdxColorEdit.",2
The key is the popup for that editors.,2
"Thank you, you solved my problem.",3
"However your developers have used the same property for layout control tab and filter tab, it would have been best not to.",2
"Hello, i need to paste data in GridControl from Excel.",2
"Where i get data in TableView_ClipboardRowPasting and cast to valid row, e.IsValid == false and i ca n't call Validate for new data.",2
"Hello, Can you please advise on how to have a field as read-only during Edit Model of a row in a GridView and editable during Add Mode thank You",2
"Hello, scenario is to perform height calculation: + if form is resized + if scheduler is resized + if scheduler is scrolled horizontally + if scheduler is scrolled vertically + if user increased number of visible resources All this actions may, or may not case show resources with appointnents not visible.",2
"Hi Marten, I was short of explanation, sorry.",2
It is not exclusive of KeyToCommands.,2
It is an exclusion of KeyToCommand and DelegateCommand generated by BarButtonItem and others.,2
"I modified the sample that I provided, and created a reproduced sample.",2
"If you press Ctrl + W with the focus on the control, both commands will be executed.",2
Please tell me how to execute only one for duplicate registration.,2
Hello Please let me know How we can use gridview with Checkbox using MVC gridview.I am attaching image in which gridview picture is given.Please Help me its Important.,2
I just dont get it.,2
I just reinstalled everything... I used in a report the method GetCurrentColumnValue on a calculated field.,2
I called the method in BeforePrint.,2
"Now, it returns null on that field.",2
"The problem is that on the same database, with the same project, on a virtual machine, it works.",2
I dont get it.,2
I dont know where to look.,2
I resolved The problem was due to the fact that in a unit I had a complete list of skins.,2
"OK, finally got to the bottom of this by using DashboardDesigner.Dashboard.SaveToXml (Stream stream) and DashboardDesigner.Dashboard.LoadFromXml (Stream stream) methods.",2
"hiii devex as the subject say when setting dropdownedit in code behind, the caption is set fine, but the aspxtreelist within the template is not visible.",2
Do you know when the beta version will be released?,2
"Hi, your solution does not work.",2
the displaytemplate does not display the checked state.,2
"when click into the cell, the edittemplate shows the correct checkbox with correct checked state.",2
"second issue: the edittemplate has a different height, the row is `` jumping'' when you change from display to edit template.",2
is there a performance impact when using the displaytemplate?,2
"Hi Alex, I think I need your assistance on this.",2
As far as I understood I need to put DetailViewLayout attribute over properties and ModelNodeGeneratorUpdater for that will go via nodes and set ShowCaption to true.,2
"However, I do not know if I should write my own Generator or use some existing one.",2
Could you please let me know what I missing or achieve this?,2
"Many thanks, Chris",2
How can I create files in the Mobile Application Zip file that I use to generate an APK file in PhoneGap?,2
"If this is not possible, is there a way to create a different number of objects for each card in runtime??",2
can i have above (Massimiliano Chiorboli's) solution the same solution in JavaScript.,2
"Hi We have more than 25 columns in this grid and if we do not specify the width of any column at all, all we see on desktop is 3 columns.",2
Please provide a solution to this.,2
As we do not want to specify the width of every column specifically.,2
Hello Paulo I wonder if it's possible to include a cxGrid inside one of those created cards.,2
"Hello, i'm trying to add a RepositoryItemSearchLookUpEdit at runtime but when i do this i just see two buttons but not the displayvalue.",2
I've i look at the datasource the selected value is present.,2
I've attached a sample project.,2
Trying to evaluate if we are able to use DexExpress for a new project.,2
"Hi Team, Kindly provide me a solution for ASPxSpreadsheet - Download document using Javascript.",2
I came across IMVVMDockingProperties interface.,2
When would you use this vs. IDocumentManagerService?,2
"Thank you Stas, works fine for me... I did n't test to access the Button's properties in code in fact.",2
"Hi Paulo, I was able to resolve this problem by deleting some.DCP files that were stored in the Embarcadero folders.",2
Can you please let me know which design-time packages I need to load in order to view a form containing the TCxButton class?,2
Is this information documented?,2
"Hello Yaroslav, Attached POC - I'll send several attachments (included first one) Best regards, Karl",2
"Hi, I am giving you a demo project from my end this will illustrate you the problem i am facing.",2
In case of any issue please get back to me.,2
"Hi, Also another problem after updating to new version 17.2.7, seems to happen on most development machines in the company, is using the AppBarControl with DataBinding for Buttons, we can not see anymore the labels on the buttons, please see attached image.",2
"We tried returning to the old version of Devexpress, and the labels appeared again.",2
I found solution!!!,3
THX again!!!,3
Hi I am looking at DevExpress XPO as an alternative to Entity Framework.,2
Most of my project work is using WPF and the DevExpress WPF control suite.,2
I would like to know if XPO works with WPF?,2
The examples in the documentation seem to be for WinForms?,2
"If it does work with WPF, are there any particular features of XPO that make working with WPF easier?",2
Could you point me to any examples of XPO and WPF at work together?,2
Pardon me to insist on this topic but it's becoming quite urgent for my client.,2
Do you have any news?,2
Thanks for the example!,2
I changed it a little and got what I wrote about.,2
Look at the attach.,2
I turned off the theme and got a gradient in the progress bar.,2
"If the SkinName is specified, then your option is obtained.",2
How with the SkinName = Office2016Colorful getting a gradient in the progress bar?,2
i have added div in slide layout and access it using jquery.,2
now it is working,2
Hi Support I see a number of examples on grids etc but is it possible to export the contents of an HTML table to PDF or Excel Thanks Regards Phil,2
I have an ASPxGridView grid with 10 columns.,2
Grid is set with AdaptivityMode as HideDataCells.,2
"When the screen size scales down, I need to always preserve at least 3 of 10 columns which are important for the user experience.",2
Currently only one or two of the interested column are preserved with smartphone screen size.,2
How can I always keep the 3 column visible?,2
"Yes thank you for all your help, its much appreciated, great support.",4
"Hello, I ran into a particular issue where the header filtering does not respond as requested.",2
